X,Y,Z
-0.02,0.00,-1.04
-0.02,0.00,-1.03
-0.01,0.00,-1.04
-0.02,-0.00,-1.04
-0.01,-0.00,-1.04
-0.02,-0.01,-1.04
-0.02,-0.01,-1.02
-0.03,-0.00,-1.04
-0.02,-0.01,-1.04
-0.02,-0.00,-1.04
-0.02,-0.00,-1.04
-0.03,-0.00,-1.03
-0.02,-0.00,-1.04
-0.03,0.01,-1.04
-0.02,0.02,-1.03
-0.03,0.02,-1.03
-0.03,0.03,-1.04
-0.03,0.01,-1.03
-0.03,0.02,-1.03
-0.03,0.02,-1.03
-0.04,0.02,-1.04
-0.04,0.02,-1.04
-0.03,0.02,-1.03
-0.03,0.02,-1.03
-0.03,0.01,-1.03
-0.03,0.02,-1.04
-0.03,0.02,-1.03
-0.03,0.01,-1.04
-0.02,0.02,-1.04
-0.02,0.02,-1.03
-0.03,0.02,-1.04
-0.03,0.02,-1.03
-0.02,0.02,-1.03
-0.02,0.01,-1.04
-0.02,0.02,-1.04
-0.02,0.01,-1.04
-0.03,0.02,-1.03
-0.03,0.02,-1.03
-0.03,0.02,-1.04
-0.03,0.02,-1.04
-0.03,0.02,-1.03
-0.03,0.02,-1.04
-0.03,0.02,-1.03
-0.03,0.02,-1.03
-0.03,0.02,-1.04
-0.03,0.02,-1.04
-0.03,0.02,-1.04
-0.03,0.02,-1.04
-0.03,0.02,-1.04
-0.03,0.03,-1.04
-0.03,0.02,-1.04
-0.03,0.02,-1.04
-0.03,0.02,-1.04
-0.02,0.02,-1.03
-0.02,0.02,-1.03
-0.02,0.02,-1.04
-0.03,0.02,-1.04
-0.03,0.02,-1.04
-0.03,0.02,-1.03
-0.03,0.02,-1.04
-0.03,0.02,-1.04
-0.03,0.02,-1.04
-0.03,0.02,-1.04
-0.04,0.02,-1.03
