X,Y,Z
-0.01,-1.00,-0.11
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.01,-1.00,-0.11
-0.01,-1.00,-0.11
-0.01,-1.00,-0.12
-0.00,-1.00,-0.11
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.01,-1.00,-0.11
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.00,-1.00,-0.11
-0.01,-1.00,-0.11
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.00,-0.99,-0.11
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.00,-1.00,-0.11
-0.01,-1.00,-0.11
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.00,-1.00,-0.11
-0.00,-1.00,-0.11
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.01,-1.00,-0.11
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.00,-1.00,-0.12
-0.01,-1.00,-0.12
-0.01,-1.00,-0.11
-0.01,-1.03,-0.12
-0.00,-1.00,-0.12
-0.01,-1.00,-0.11
-0.01,-1.00,-0.11
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.00,-1.00,-0.12
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.01,-0.99,-0.11
-0.00,-1.00,-0.11
-0.01,-1.00,-0.12
-0.01,-1.00,-0.12
-0.01,-1.00,-0.11
-0.01,-1.00,-0.12
-0.01,-1.00,-0.11
-0.01,-1.00,-0.12
-0.01,-0.99,-0.09
-0.01,-1.00,-0.11
-0.00,-1.00,-0.11
-0.01,-1.00,-0.12
